PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BT09 Silvanopolis,22WNBPEYG6J1BT09,BT09,6J1,21ALL112YGC_MM,,UR271681984,1,14,9,25,14,SZE6111ZL.0,SZE6111ZL.0,SZE6111ZL.0,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,2,,,SZE6111ZL.0 SYN,,,,,,,,,,,,,1,,,,,,4/18/2022,4/18/2022,,10,-48.55606,-10.24224,
BRTR BT09 Silvanopolis,22WNBPEYG6J1BT09,BT09,6J1,21ALL112XWZ_MM,,UR271681856,3,142,35,9,142,AS1868PRO3,AS1868PRO3,AS1868PRO3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,1,,,AS1868PRO3,,,,,,,,,,,,,9,,,,,,,,,10,-48.55606,-10.24224,
BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YEV_MM,,UR271682697,3,156,41,25,156,SW8015ZL.0,NS88VIP3,NS88VIP3,,22WNBPEYG6J1,,,,,,3,,,,,,,,,,,,,,SW8015ZL.0,,,,,,,,,,,,,5,,,,,,,,,10,-46.74115,-8.66879,
BRTR BT09 Silvanopolis,22WNBPEYG9J2BT09,BT09,9J2,21ALL112YGF_MM,,UR271686481,3,94,102,25,344,SZF558ZL.0,NS91VIP3,NS91VIP3,,22WNBPEYG9J2,,,,,,,,,,,,,,,,,,,,SZF558ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.55606,-10.24224,
BRTR BT09 Silvanopolis,22WNBPEYG9J2BT09,BT09,9J2,21ALL112YFM_MM,,UR271686533,2,42,90,9,444,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNBPEYG9J2,,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.55606,-10.24224,
BRTR BT09 Silvanopolis,22WNBPEYG9J2BT09,BT09,9J2,21ALL112YGF_MM,,UR271686513,2,62,94,9,464,SZF558ZL.0,NS91VIP3,NS91VIP3,,22WNBPEYG9J2,,,,,,,,,,,,,,,,,,,,SZF558ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.55606,-10.24224,
BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFX_MM,,UR271682350,3,161,39,1,161,SYC7161ZL.0,SYC7161ZL.0,SYC7161ZL.0,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,3,,,SYC7161ZL.0,,,,,,,,,,,,,5,,,,,,,,,10,-47.96824,-9.79848,
BRTR BT09 Silvanopolis,22WNBPEYG6J1BT09,BT09,6J1,21ALL112YG7_MM,,UR271681877,3,121,31,1,121,SZ6995ZS.0,NS45VIP3,NS45VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,3,,,SZ6995ZS.0,,,,,,,,,,,,,5,,,,,,,,,10,-48.55606,-10.24224,
BRTR BT09 Silvanopolis,22WNBPEYG6J1BT09,BT09,6J1,21ALL112XXP_MM,,UR271681849,3,149,36,16,149,P30F53VYHR,P30F53VYHR,P30F53VYHR,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,,,P30F53VYHR PI,,,,,,,,,,,,,9,,,,,,,,,10,-48.55606,-10.24224,
BRTR BT04 Tasso Fragoso ll,22WNBPEYG8Z2BT04,BT04,8Z2,21ALL112XU3_MM,,UR271561966,1,5,47,37,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z2,,,,,,3,,,,,,,,,,,,,,SXC1510ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-46.74115,-8.66879,
