#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK,PSS:VSCIN
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFB_MM,,UR271682852,1,0001,3,1,1,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,,,,,19.99,,,,,,17.10,,9,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFB_MM,,UR271682792,2,0061,18,32,61,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6J1,,,,,,,5,,,,,,,,,,,,,,SXC2251ZL.0,,,,,36.61,,,,,,15.50,,1,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFB_MM,,UR271682720,3,0133,36,32,133,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6J1,,,,,,,4,,,,,,,,,,,,,,SXC2251ZL.0,,,,,33.80,,,,,,14.85,,1,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFA_MM,,UR271682851,1,0002,3,9,2,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6J1,,,,,,,5,,,,,,,,,,,,,,SXC2251TG.0,,,,,28.27,,,,,,14.65,,5,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFA_MM,,UR271682787,2,0066,19,9,66,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6J1,,,,,,,4,,,,,,,,,,,,,,SXC2251TG.0,,,,,28.85,,,,,,16.30,,5,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFA_MM,,UR271682718,3,0135,36,16,135,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6J1,,,,,,,4,,,,,,,,,,,,,,SXC2251TG.0,,,,,31.32,,,,,,17.85,,1,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFL_MM,,UR271682850,1,0003,3,17,3,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6J1,,,,,,,4,,,,,,,,,,,,,,SXD3239ZL.0,,,,,24.07,,,,,,18.00,,9,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFL_MM,,UR271682788,2,0065,19,1,65,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6J1,,,,,,,4,,,,,,,,,,,,,,SXD3239ZL.0,,,,,31.27,,,,,,20.05,,1,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YFL_MM,,UR271682723,3,0130,35,9,130,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6J1,,,,,,,3,,,,,,,,,,,,,,SXD3239ZL.0,,,,,30.84,,,,,,19.75,,1,,,,,,,,,10,-46.74115000,-8.66879000,,
,BRTR BT04 Tasso Fragoso ll,22WNBPEYG6J1BT04,BT04,6J1,21ALL112YEP_MM,,UR271682849,1,0004,3,25,4,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6J1,,,,,,,7,,,,,,,,,,,,,,SX6665ZS.0,,,,,27.59,,,,,,13.25,,1,,,,,,,,,10,-46.74115000,-8.66879000,,
