#,PSS:EXT:EXTID,PSS:BARCD,ABBRC,VHNM,PSS:REPNO,PSS:PLTID,PSS:MAXRNG,PSS:MAXROW,Location Name,PSS:COSTR,PSS:HELMR,PSS:LFSPR,PSS:DLLFR,PSS:SCLBR
,501,UR271232909,MG580PWU,MG580PWU,1,1001,2,48,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232908,DKB265PRO3,DKB265PRO3,1,1002,2,44,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232907,P3282VYH,P3282VYH,1,1003,2,40,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232906,SXD3239ZL.0,NK467VIP3,1,1004,2,36,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232905,SZ6995ZS.0,NS45VIP3,1,1005,2,32,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,,,
,501,UR271232904,MG408PWU,MG408PWU,1,1006,2,28,BRTR BC01 Stª T. Itaipu-PR,,,2,,
,501,UR271232903,SX5885ZS.0,NK488VIP3,1,1007,2,24,BRTR BC01 Stª T. Itaipu-PR,"4,0000",,2,,
,501,UR271232902,SX5885ZS.0,NK488VIP3,1,1008,2,20,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232901,SX5885ZS.0,NK488VIP3,1,1009,2,16,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232900,FORMULAWT.0,FORMULAVIP2,1,1010,2,12,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232899,SX5885ZS.0,NK488VIP3,1,1011,2,8,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,,,
,501,UR271232898,8CHB55/2DEB35,SXC1442 2DEB35/8CHB55,1,1012,2,4,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,,,
,501,UR271232897,SX5885ZS.0,NK488VIP3,1,1013,3,4,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232896,SX5885ZS.0,NK488VIP3,1,1014,3,8,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232895,SX5885ZS.0,NK488VIP3,1,1015,3,12,BRTR BC01 Stª T. Itaipu-PR,"4,0000",,2,,
,501,UR271232894,D8BB29/2DEB35,SXC1452 2DEB35/D8BB29,1,1016,3,16,BRTR BC01 Stª T. Itaipu-PR,"1,0000",,1,,
,501,UR271232893,ACTTC377BB.0/8AHB80ZS.0,SXB1462ZL.0 8AHB80ZS.0/ACTTC377BB.0,1,1017,3,20,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,1,,
,501,UR271232892,ACTTE628ZS.0/ACYFC487,SXC1472ZL.0 ACTTE628ZS.0/ACYFC487,1,1018,3,24,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232891,ACYYD959/B6T7T943ZS.2,SXC1482ZL.0 B6T7T943ZS.2/ACYYD959,1,1019,3,28,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,,,
,501,UR271232890,ACYFB838/B6T7T943ZS.2,SXC1492ZL.0 B6T7T943ZS.2/ACYFB838,1,1020,3,32,BRTR BC01 Stª T. Itaipu-PR,,,2,,
,501,UR271232889,LOFYD700/B6T7T943ZS.2,SXB1502ZL.0 B6T7T943ZS.2/LOFYD700,1,1021,3,36,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232888,8AHB18/WTP6741ZL.2,SXC1512ZL.0 WTP6741ZL.2/8AHB18,1,1022,3,40,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,,,
,501,UR271232887,ACTTC488ZS.0/WYFD153,SXB1522ZL.0 ACTTC488ZS.0/WYFD153,1,1023,3,44,BRTR BC01 Stª T. Itaipu-PR,"1,0000",,2,,
,501,UR271232886,WTTB265/8AHB80ZS.0,SXC1532ZL.0 8AHB80ZS.0/WTTB265,1,1024,3,48,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232885,SX5885ZS.0,NK488VIP3,1,1025,3,52,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232884,C8EB48/2AHB26ZS.0,SXC1552ZL.0 2AHB26ZS.0/C8EB48,1,1026,3,56,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,,,
,501,UR271232883,SX5885ZS.0,NK488VIP3,1,1027,3,60,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232882,SX5885ZS.0,NK488VIP3,1,1028,3,64,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232881,FORMULAWT.0,FORMULAVIP2,1,1029,3,68,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232880,FORMULAWT.0,FORMULAVIP2,1,1030,3,72,BRTR BC01 Stª T. Itaipu-PR,"4,0000",,2,,
,501,UR271232879,FORMULAWT.0,FORMULAVIP2,1,1031,3,76,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232878,SXB1432ZL.0,SXB1432ZL.0 8AHB80ZS.0/BCTT241,1,1032,3,80,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232877,SX5885ZS.0,NK488VIP3,1,1033,3,84,BRTR BC01 Stª T. Itaipu-PR,"3,0000",,2,,
,501,UR271232876,SXD3249ZL.0,NS75VIP3,1,1034,3,88,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,2,,
,501,UR271232875,DKB255PRO3,DKB255PRO3,1,1035,3,92,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,1,,
,501,UR271232874,DKB360PRO3,DKB360PRO3,1,1036,3,96,BRTR BC01 Stª T. Itaipu-PR,"1,0000",,2,,
,501,UR271232873,SX8394ZS.0,NS73VIP3,1,1037,4,96,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,1,,
,501,UR271232872,MG545PWU,MG545PWU,1,1038,4,92,BRTR BC01 Stª T. Itaipu-PR,,,2,,
,501,UR271232871,SXC2320VIP3,NK503VIP3,1,1039,4,88,BRTR BC01 Stª T. Itaipu-PR,"2,0000",,,,
