#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XTY_MM,,UR271207494,1,0001,19,64,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYA7470ZS.0,55,,,,,,,,,,,,1,,,120,225,64,4/13/2022,4/15/2022,62,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XTY_MM,,UR271207434,1,0001,17,56,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z4,,,,,,,5,,,,,,,,,,,3.0000,,,SYA7470ZS.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XTZ_MM,,UR271207433,1,0002,17,48,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SYC7209ZS.0,65,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XTZ_MM,,UR271207493,1,0002,19,56,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYC7209ZS.0,63,,,,,,,,,,,,1,,,125,240,63,4/13/2022,4/14/2022,62,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU1_MM,,UR271207492,1,0003,19,48,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SYA7560ZS.0,55,,,,,,,,,,,,1,,,120,225,64,4/14/2022,4/15/2022,63,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU1_MM,,UR271207432,1,0003,17,40,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SYA7560ZS.0,59,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU2_MM,,UR271207431,1,0004,17,32,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXE3279ZL.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU2_MM,,UR271207491,1,0004,19,40,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXE3279ZL.0,63,,,,,,,,,,,,1,,,120,230,60,4/9/2022,4/11/2022,58,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU3_MM,,UR271207430,1,0005,17,24,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXC1510ZS.0,61,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU3_MM,,UR271207490,1,0005,19,32,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,5.0000,,,SXC1510ZS.0,61,,,,,,,,,,,,1,,,110,220,60,4/11/2022,4/11/2022,60,12,-53.78812800,-24.66647000,
