"Local","classe","Controles","Desvio"
"22WNBPEYG6K1BU01","Baixa","T S MT MS ",-19.166
"22WNBPEYG6K1BU03","Baixa","T S MT MS ",-21.011
"22WNBPEYG6K1BU05","Baixa","T S MT MS ",-24.239
"22WNBPEYG6K1BU06","Baixa","T S MT MS ",-23.049
"22WNBPEYG6K1BU07","Baixa","T S MT MS ",-4.469
"22WNBPEYG6K1BU09","Baixa","T S MT MS ",-17.025
"22WNBPEYG6K1BU10","Baixa","T S MT MS ",-18.744
"22WNBPEYG6K1BU12","Baixa","T S MT MS ",-18.736
"22WNBPEYG6K1BU17","Baixa","T S MT MS ",-11.344
"22WNBPEYG6K1BU22","Baixa","T S MT MS ",-7.015
"22WNBPEYG6K1BU23","Baixa","T S MT MS ",-11.04
"22WNBPEYG6K1BU25","Baixa","T S MT MS ",-12.074
"22WNBPEYG6K1BU29","Baixa","T S MT MS ",-22.727
"22WNBPEYG6K1BU30","Baixa","T S MT MS ",-13.801
"22WNBPEYG6K1BU34","Baixa","T S MT MS ",-19.801
"22WNBPEYG6K1BU35","Media","T S MT MS ",0.597
"22WNBPEYG6K1BU39","Baixa","T S MT MS ",-11.779
"22WNBPEYG6K1BU40","Baixa","T S MT MS ",-29.595
"22WNBPEYG6K1BU41","Baixa","T S MT MS ",-31.848
"22WNJDYGVTCBU03","Baixa","T S MT MS ",-6.267
"22WNJDYGVTCBU35","Baixa","MT MS ",-8.642
"22WNJDYGVTCBU39","Baixa","MT MS ",-6.944
"22WNUBYG401BU03","Baixa","MT MS ",-19.314
"22WNUBYG401BU05","Baixa","T S MT MS ",-20.967
"22WNUBYG401BU06","Baixa","T S MT MS ",-15.947
"22WNUBYG401BU09","Baixa","T S MT MS ",-19.392
"22WNUBYG401BU22","Baixa","T S MT MS ",-9.932
"22WNUBYG401BU29","Baixa","T S MT MS ",-14.701
"22WNUBYG401BU34","Baixa","T S MT MS ",-20.383
"22WNUBYG401BU35","Baixa","T S MT MS ",-22.598
"22WNUBYG401BU39","Baixa","T S MT MS ",-19.881
"22WNUBYG401BU41","Baixa","T S MT MS ",-20.989
"22WNUBYG402BU03","Baixa","T S MT MS ",-18.831
"22WNUBYG402BU06","Baixa","T S MT MS ",-16.17
"22WNUBYG402BU09","Baixa","T S MT MS ",-19.966
"22WNUBYG402BU22","Baixa","T S MT MS ",-10.263
"22WNUBYG402BU29","Baixa","T S MT MS ",-18.586
"22WNUBYG402BU34","Baixa","T S MT MS ",-19.724
"22WNUBYG402BU35","Baixa","T S MT MS ",-21.947
"22WNUBYG402BU39","Baixa","T S MT MS ",-17.607
"22WNUBYG402BU41","Baixa","T S MT MS ",-22.235
"22WNUBYG410BU03","Baixa","T S MT MS ",-11.344
"22WNUBYG410BU06","Baixa","T S MT MS ",-4.172
"22WNUBYG410BU09","Baixa","T MT MS ",-13.419
"22WNUBYG410BU29","Baixa","T MT MS ",-4.172
"22WNUBYG410BU35","Baixa","T MT MS ",-4.172
"22WNUBYG410BU39","Baixa","T MT MS ",-11.344
"22WNUBYG410BU41","Baixa","T S MT MS ",-4.172
"22WNUBYG411BU03","Baixa","T MT MS ",-13.419
"22WNUBYG411BU06","Baixa","T MT MS ",-13.419
"22WNUBYG411BU09","Baixa","T MT MS ",-13.419
"22WNUBYG411BU29","Baixa","T MT MS ",-13.419
"22WNUBYG411BU35","Baixa","T MT MS ",-13.419
"22WNUBYG411BU39","Baixa","T MT MS ",-13.419
"22WNUBYG411BU41","Baixa","T MT MS ",-13.419
"22WNUBYG412BU03","Baixa","T MT MS ",-13.419
"22WNUBYG412BU06","Baixa","T MT MS ",-13.419
"22WNUBYG412BU09","Baixa","T MT MS ",-13.419
"22WNUBYG412BU29","Baixa","T MT MS ",-13.419
"22WNUBYG412BU35","Baixa","T MT MS ",-13.419
"22WNUBYG412BU39","Baixa","T MT MS ",-13.419
"22WNUBYG412BU41","Baixa","T MT MS ",-13.419
"22WNUBYG413BU03","Baixa","T MT MS ",-13.419
"22WNUBYG413BU06","Baixa","T MT MS ",-13.419
"22WNUBYG413BU09","Baixa","T MT MS ",-13.419
"22WNUBYG413BU29","Baixa","T MT MS ",-13.419
"22WNUBYG413BU35","Baixa","T MT MS ",-13.419
"22WNUBYG413BU39","Baixa","T MT MS ",-13.419
"22WNUBYG413BU41","Baixa","T MT MS ",-13.419
"22WNUBYG414BU03","Baixa","T MT MS ",-13.419
"22WNUBYG414BU05","Baixa","T MT MS ",-13.419
"22WNUBYG414BU06","Baixa","T MT MS ",-13.419
"22WNUBYG414BU09","Baixa","T MT MS ",-13.419
"22WNUBYG414BU29","Baixa","T MT MS ",-13.419
"22WNUBYG414BU35","Baixa","T MT MS ",-13.419
"22WNUBYG414BU39","Baixa","T MT MS ",-13.419
"22WNUBYG414BU41","Baixa","T MT MS ",-13.419
"22WNUBYG415BU03","Baixa","T MT MS ",-13.419
"22WNUBYG415BU05","Baixa","T MT MS ",-13.419
"22WNUBYG415BU06","Baixa","T MT MS ",-13.419
"22WNUBYG415BU09","Baixa","T MT MS ",-13.419
"22WNUBYG415BU29","Baixa","T MT MS ",-13.419
"22WNUBYG415BU35","Baixa","T MT MS ",-13.419
"22WNUBYG415BU39","Baixa","T MT MS ",-13.419
"22WNUBYG415BU41","Baixa","T MT MS ",-13.419
"22WNUBYG416BU03","Baixa","T MT MS ",-13.419
"22WNUBYG416BU05","Baixa","T MT MS ",-13.419
"22WNUBYG416BU06","Baixa","T MT MS ",-13.419
"22WNUBYG416BU09","Baixa","T MT MS ",-13.419
"22WNUBYG416BU29","Baixa","T MT MS ",-13.419
"22WNUBYG416BU35","Baixa","T MT MS ",-13.419
